iter	Logloss
0	0.6601221552
1	0.6312062848
2	0.6063071116
3	0.5847038558
4	0.5669547227
5	0.5511469023
6	0.5373249242
7	0.5249200151
8	0.5128403609
9	0.5027478836
10	0.4944268874
11	0.4854073082
12	0.4783886847
13	0.4714451305
14	0.4660669858
15	0.4618646971
16	0.457614755
17	0.4522586439
18	0.447740186
19	0.4437820827
20	0.4405063986
21	0.436972423
22	0.4342455433
23	0.4310642793
24	0.4285679075
25	0.4264094418
26	0.4240303286
27	0.4220246987
28	0.4205604912
29	0.4191778522
30	0.4181070679
31	0.4165395762
32	0.4153652428
33	0.4139377791
34	0.4125101367
35	0.4115325212
36	0.4109951236
37	0.4098318579
38	0.4088258615
39	0.4080500448
40	0.4072643674
41	0.406670559
42	0.4059365386
43	0.4050379975
44	0.4044427817
45	0.4031552518
46	0.401984358
47	0.4012428784
48	0.4006817763
49	0.3999502284
50	0.3988635289
51	0.3988091364
52	0.3984068879
53	0.3977100066
54	0.3975258596
55	0.3967951258
56	0.3966509404
57	0.3961784107
58	0.3958421379
59	0.3957528782
60	0.3952493148
61	0.3951354167
62	0.3950537072
63	0.3944982402
64	0.3941664117
65	0.3940486999
66	0.3940020476
67	0.3938748161
68	0.3937518332
69	0.3935558982
70	0.3935238037
71	0.3935103185
72	0.3933760728
73	0.3932646542
74	0.3928102968
75	0.3925072905
76	0.3923286954
77	0.3918537834
78	0.3918004858
79	0.3917827139
80	0.3913788354
81	0.3911671403
82	0.3911203452
83	0.3910894283
84	0.3906270822
85	0.3901872018
86	0.3901199083
87	0.3897651504
88	0.3895930513
89	0.389575647
90	0.3893369125
91	0.3892531812
92	0.388948128
93	0.3888093259
94	0.3887007043
95	0.3886219051
96	0.3884864897
97	0.3883675218
98	0.3882343329
99	0.3880335233
100	0.3877332831
101	0.3874971485
102	0.3874670598
103	0.3868222702
104	0.3866011249
105	0.3865686889
106	0.3861018071
107	0.3860783163
108	0.3859392856
109	0.3855808057
110	0.3853815763
111	0.3846553339
112	0.3843556925
113	0.3841411922
114	0.3836143329
115	0.3835229002
116	0.3834449758
117	0.3829770358
118	0.3827910618
119	0.3825830518
120	0.3824135743
121	0.3821883464
122	0.3820493949
123	0.3815192718
124	0.3813177063
125	0.38116651
126	0.3810341311
127	0.3808189511
128	0.3807725102
129	0.3805300321
130	0.3803719517
131	0.3801775462
132	0.3799975042
133	0.3798258713
134	0.37972856
135	0.3791069523
136	0.3789585753
137	0.3786849461
138	0.3784742602
139	0.3783921556
140	0.3783597516
141	0.3783069826
142	0.3782700096
143	0.3781839073
144	0.3781351835
145	0.3780157658
146	0.3777568363
147	0.3777045892
148	0.3775437925
149	0.3774636945
150	0.3773932737
151	0.3773503747
152	0.3771897485
153	0.3770630543
154	0.3769811493
155	0.3766520864
156	0.3763926249
157	0.3762886049
158	0.3761396076
159	0.3757712258
160	0.3756773223
161	0.3756343938
162	0.3754114833
163	0.3753561787
164	0.3751592423
165	0.3748428786
166	0.374758031
167	0.3744327007
168	0.3743719935
169	0.3743143548
