iter	Passed	Remaining
0	22	3731
1	44	3709
2	64	3612
3	83	3456
4	103	3414
5	124	3395
6	163	3808
7	184	3732
8	202	3629
9	213	3412
10	221	3198
11	245	3230
12	263	3181
13	283	3158
14	303	3140
15	311	2998
16	327	2949
17	348	2943
18	369	2940
19	391	2937
20	415	2949
21	435	2927
22	446	2851
23	465	2834
24	487	2829
25	507	2813
26	528	2797
27	548	2782
28	569	2767
29	590	2754
30	599	2686
31	621	2681
32	642	2669
33	663	2653
34	683	2637
35	703	2620
36	720	2589
37	740	2573
38	761	2556
39	781	2541
40	805	2535
41	828	2523
42	848	2507
43	869	2488
44	889	2470
45	912	2461
46	933	2443
47	950	2415
48	970	2396
49	991	2378
50	1016	2371
51	1029	2335
52	1049	2317
53	1072	2303
54	1082	2264
55	1102	2244
56	1123	2226
57	1143	2207
58	1163	2188
59	1180	2164
60	1200	2145
61	1208	2105
62	1225	2081
63	1247	2066
64	1268	2048
65	1278	2015
66	1292	1987
67	1312	1968
68	1332	1950
69	1353	1933
70	1366	1905
71	1386	1887
72	1409	1872
73	1432	1858
74	1453	1840
75	1474	1823
76	1494	1805
77	1515	1787
78	1535	1768
79	1555	1750
80	1575	1731
81	1596	1712
82	1619	1697
83	1637	1676
84	1657	1657
85	1679	1640
86	1690	1612
87	1709	1593
88	1731	1575
89	1751	1556
90	1772	1538
91	1792	1519
92	1813	1501
93	1836	1484
94	1857	1466
95	1878	1448
96	1898	1428
97	1919	1410
98	1939	1390
99	1959	1371
100	1980	1353
101	2000	1333
102	2021	1314
103	2050	1301
104	2073	1283
105	2093	1264
106	2114	1244
107	2134	1225
108	2155	1206
109	2175	1186
110	2195	1167
111	2216	1147
112	2236	1127
113	2260	1110
114	2285	1092
115	2309	1075
116	2329	1055
117	2350	1035
118	2370	1015
119	2390	996
120	2411	976
121	2431	956
122	2452	937
123	2475	918
124	2496	898
125	2518	879
126	2539	859
127	2561	840
128	2582	820
129	2602	800
130	2622	780
131	2642	760
132	2663	740
133	2686	721
134	2708	702
135	2729	682
136	2749	662
137	2770	642
138	2790	622
139	2810	602
140	2830	582
141	2850	562
142	2870	542
143	2893	522
144	2914	502
145	2935	482
146	2955	462
147	2975	442
148	2996	422
149	3016	402
150	3037	382
151	3057	362
152	3078	342
153	3101	322
154	3123	302
155	3145	282
156	3165	262
157	3185	241
158	3206	221
159	3226	201
160	3246	181
161	3267	161
162	3287	141
163	3309	121
164	3330	100
165	3352	80
166	3372	60
167	3392	40
168	3412	20
169	3433	0
